file,experiment,db,model_variant,variant,run,n_uris_total,n_canonical,n_invented,n_standard,n_other,canonical_ratio,overlap_with_gold,jaccard,precision_vs_gold,recall_vs_gold
E3/DiseaseEnhancer/gpt-4o_ragapi/ontology_run1.ttl,E3,DiseaseEnhancer,gpt-4o_ragapi,raw,1,40,17,0,14,9,1.0,8,0.0792,0.381,0.0909
E3/DiseaseEnhancer/gpt-4o_ragapi/ontology_run2.ttl,E3,DiseaseEnhancer,gpt-4o_ragapi,raw,2,42,18,0,14,10,1.0,8,0.0777,0.3478,0.0909
E3/DiseaseEnhancer/gpt-4o_ragapi/ontology_run3.ttl,E3,DiseaseEnhancer,gpt-4o_ragapi,raw,3,52,12,23,14,3,0.3429,5,0.0515,0.3571,0.0568
E3/DiseaseEnhancer/gpt-4o_ragapi/postprocessed/ontology_run1.ttl,E3,DiseaseEnhancer,gpt-4o_ragapi,postprocessed,1,40,17,0,14,9,1.0,8,0.0792,0.381,0.0909
E3/DiseaseEnhancer/gpt-4o_ragapi/postprocessed/ontology_run2.ttl,E3,DiseaseEnhancer,gpt-4o_ragapi,postprocessed,2,42,18,0,14,10,1.0,8,0.0777,0.3478,0.0909
E3/DiseaseEnhancer/gpt-4o_ragapi/postprocessed/ontology_run3.ttl,E3,DiseaseEnhancer,gpt-4o_ragapi,postprocessed,3,52,12,23,14,3,0.3429,5,0.0515,0.3571,0.0568
E3/DiseaseEnhancer/llama3.1_8b_legacy/ontology_run1.ttl,E3,DiseaseEnhancer,llama3.1_8b_legacy,raw,1,44,28,0,16,0,1.0,28,0.3182,1.0,0.3182
E3/DiseaseEnhancer/llama3.1_8b_legacy/ontology_run2.ttl,E3,DiseaseEnhancer,llama3.1_8b_legacy,raw,2,74,55,0,19,0,1.0,53,0.5889,0.9636,0.6023
E3/DiseaseEnhancer/llama3.1_8b_legacy/ontology_run3.ttl,E3,DiseaseEnhancer,llama3.1_8b_legacy,raw,3,48,31,0,17,0,1.0,31,0.3523,1.0,0.3523
E3/DiseaseEnhancer/llama3.1_8b_legacy/postprocessed/ontology_run1.ttl,E3,DiseaseEnhancer,llama3.1_8b_legacy,postprocessed,1,51,35,0,16,0,1.0,33,0.3667,0.9429,0.375
E3/DiseaseEnhancer/llama3.1_8b_legacy/postprocessed/ontology_run2.ttl,E3,DiseaseEnhancer,llama3.1_8b_legacy,postprocessed,2,77,56,0,21,0,1.0,52,0.5652,0.9286,0.5909
E3/DiseaseEnhancer/llama3.1_8b_legacy/postprocessed/ontology_run3.ttl,E3,DiseaseEnhancer,llama3.1_8b_legacy,postprocessed,3,57,40,0,17,0,1.0,38,0.4222,0.95,0.4318
E3/DiseaseEnhancer/llama3.1_8b_ragapi/ontology_run1.ttl,E3,DiseaseEnhancer,llama3.1_8b_ragapi,raw,1,48,24,11,13,0,0.6857,5,0.0467,0.2083,0.0568
E3/DiseaseEnhancer/llama3.1_8b_ragapi/ontology_run2.ttl,E3,DiseaseEnhancer,llama3.1_8b_ragapi,raw,2,52,42,0,10,0,1.0,5,0.04,0.119,0.0568
E3/DiseaseEnhancer/llama3.1_8b_ragapi/ontology_run3.ttl,E3,DiseaseEnhancer,llama3.1_8b_ragapi,raw,3,49,36,0,13,0,1.0,5,0.042,0.1389,0.0568
E3/DiseaseEnhancer/llama3.1_8b_ragapi/postprocessed/ontology_run1.ttl,E3,DiseaseEnhancer,llama3.1_8b_ragapi,postprocessed,1,48,24,11,13,0,0.6857,5,0.0467,0.2083,0.0568
E3/DiseaseEnhancer/llama3.1_8b_ragapi/postprocessed/ontology_run2.ttl,E3,DiseaseEnhancer,llama3.1_8b_ragapi,postprocessed,2,52,42,0,10,0,1.0,5,0.04,0.119,0.0568
E3/DiseaseEnhancer/llama3.1_8b_ragapi/postprocessed/ontology_run3.ttl,E3,DiseaseEnhancer,llama3.1_8b_ragapi,postprocessed,3,49,36,0,13,0,1.0,5,0.042,0.1389,0.0568
E3/DiseaseEnhancer/llama3.1_8b_ragapi_C1/ontology_run1.ttl,E3,DiseaseEnhancer,llama3.1_8b_ragapi_C1,raw,1,39,20,8,11,0,0.7143,5,0.0485,0.25,0.0568
E3/DiseaseEnhancer/llama3.1_8b_ragapi_C1/ontology_run2.ttl,E3,DiseaseEnhancer,llama3.1_8b_ragapi_C1,raw,2,36,17,8,11,0,0.68,5,0.05,0.2941,0.0568
E3/DiseaseEnhancer/llama3.1_8b_ragapi_C1/ontology_run3.ttl,E3,DiseaseEnhancer,llama3.1_8b_ragapi_C1,raw,3,42,15,12,15,0,0.5556,5,0.051,0.3333,0.0568
E3/DiseaseEnhancer/llama3.1_8b_ragapi_C1/postprocessed/ontology_run1.ttl,E3,DiseaseEnhancer,llama3.1_8b_ragapi_C1,postprocessed,1,39,20,8,11,0,0.7143,5,0.0485,0.25,0.0568
E3/DiseaseEnhancer/llama3.1_8b_ragapi_C1/postprocessed/ontology_run2.ttl,E3,DiseaseEnhancer,llama3.1_8b_ragapi_C1,postprocessed,2,36,17,8,11,0,0.68,5,0.05,0.2941,0.0568
