file,src,size_bytes,load_ok,load_error,n_literals_sanitized,n_classes,n_obj_props,n_data_props,n_annotations,WMCOnto,NOMOnto,DITM,NACOnto,CBOnto,TMOnto,LCOMOnto,ANOnto,INROnto,RROnto,AROnto,consistent,n_unsatisfiable,n_inferred_classes,reasoner_seconds,reasoner_error,score_structural,score_modularity,score_reusability,score_operability,score_reliability,oquare_global,experiment,db,model,variant,run,eval_seconds,structural_error
ontology_run2.ttl,/Users/franciscosaez/Documents/Claude/Projects/TFM/results/E3/dbSUPER/gpt-4o/postprocessed/ontology_run2.ttl,2646,1,,0,1,0,0,0,0.0,0.0,1,1.0,0.0,0.0,1,0.0,0.0,0.0,0.0,True,0,1,0.21,,5.0,5.0,2.33,1.0,5,3.67,E3,dbSUPER,gpt-4o,postprocessed,2,0.22,
ontology_run3.ttl,/Users/franciscosaez/Documents/Claude/Projects/TFM/results/E3/dbSUPER/gpt-4o/postprocessed/ontology_run3.ttl,2746,1,,0,2,0,0,0,0.0,0.0,1,1.0,0.0,0.0,2,0.0,0.0,0.0,0.0,True,0,2,0.2,,5.0,4.5,2.33,1.0,5,3.57,E3,dbSUPER,gpt-4o,postprocessed,3,0.21,
ontology_run1.ttl,/Users/franciscosaez/Documents/Claude/Projects/TFM/results/E3/HACER/gpt-4o/postprocessed/ontology_run1.ttl,4629,1,,0,3,0,0,0,0.0,0.0,1,1.0,0.0,0.0,3,0.0,0.0,0.0,0.0,True,0,3,0.22,,5.0,4.0,2.33,1.0,5,3.47,E3,HACER,gpt-4o,postprocessed,1,0.22,
ontology_run2.ttl,/Users/franciscosaez/Documents/Claude/Projects/TFM/results/E3/HACER/gpt-4o/postprocessed/ontology_run2.ttl,3622,1,,0,2,0,0,0,0.0,0.0,1,1.0,0.0,0.0,2,0.0,0.0,0.0,0.0,True,0,2,0.24,,5.0,4.5,2.33,1.0,5,3.57,E3,HACER,gpt-4o,postprocessed,2,0.25,
ontology_run3.ttl,/Users/franciscosaez/Documents/Claude/Projects/TFM/results/E3/HACER/gpt-4o/postprocessed/ontology_run3.ttl,3504,1,,0,2,0,0,0,0.0,0.0,1,1.0,0.0,0.0,2,0.0,0.0,0.0,0.0,True,0,2,0.22,,5.0,4.5,2.33,1.0,5,3.57,E3,HACER,gpt-4o,postprocessed,3,0.23,
ontology_run1.ttl,/Users/franciscosaez/Documents/Claude/Projects/TFM/results/E3/DiseaseEnhancer/gpt-4o/postprocessed/ontology_run1.ttl,5086,1,,0,4,0,0,0,0.0,0.0,1,1.0,0.0,0.0,4,0.0,0.0,0.0,0.0,True,0,4,0.22,,5.0,4.0,2.33,1.0,5,3.47,E3,DiseaseEnhancer,gpt-4o,postprocessed,1,0.23,
ontology_run2.ttl,/Users/franciscosaez/Documents/Claude/Projects/TFM/results/E3/DiseaseEnhancer/gpt-4o/postprocessed/ontology_run2.ttl,3293,1,,0,0,0,0,0,,,,,,,,,,,,True,0,0,0.21,,0,0,0,0,5,1.0,E3,DiseaseEnhancer,gpt-4o,postprocessed,2,0.22,
ontology_run3.ttl,/Users/franciscosaez/Documents/Claude/Projects/TFM/results/E3/DiseaseEnhancer/gpt-4o/postprocessed/ontology_run3.ttl,3119,1,,0,2,0,0,0,0.0,0.0,1,1.0,0.0,0.0,2,0.0,0.0,0.0,0.0,True,0,2,0.22,,5.0,4.5,2.33,1.0,5,3.57,E3,DiseaseEnhancer,gpt-4o,postprocessed,3,0.22,
ontology_run1.ttl,/Users/franciscosaez/Documents/Claude/Projects/TFM/results/E4/FANTOM5/gpt-4o/ontology_run1.ttl,9088,1,,0,11,7,26,0,3.0,3.0,2,1.2727272727272727,0.7272727272727273,0.0,8,0.0,0.2727272727272727,0.6363636363636364,0.21212121212121213,True,0,11,0.27,,5.0,3.5,2.67,3.5,5,3.93,E4,FANTOM5,gpt-4o,raw,1,0.28,
ontology_run2.ttl,/Users/franciscosaez/Documents/Claude/Projects/TFM/results/E4/FANTOM5/gpt-4o/ontology_run2.ttl,10065,1,,0,12,8,26,0,2.8333333333333335,2.8333333333333335,2,1.25,0.75,0.0,9,0.0,0.25,0.6666666666666666,0.23529411764705882,True,0,12,0.28,,5.0,3.0,2.67,3.5,5,3.83,E4,FANTOM5,gpt-4o,raw,2,0.29,
ontology_run3.ttl,/Users/franciscosaez/Documents/Claude/Projects/TFM/results/E4/FANTOM5/gpt-4o/ontology_run3.ttl,9311,1,,0,11,7,26,0,3.0,3.0,2,1.2727272727272727,0.7272727272727273,0.0,8,0.0,0.2727272727272727,0.6363636363636364,0.21212121212121213,True,0,11,0.28,,5.0,3.5,2.67,3.5,5,3.93,E4,FANTOM5,gpt-4o,raw,3,0.29,
ontology_run1.ttl,/Users/franciscosaez/Documents/Claude/Projects/TFM/results/E4/dbSUPER/gpt-4o/ontology_run1.ttl,10902,1,,0,9,5,30,0,3.888888888888889,3.888888888888889,2,1.3333333333333333,0.6666666666666666,0.0,6,0.0,0.3333333333333333,0.5555555555555556,0.14285714285714285,True,0,9,0.3,,5.0,3.5,2.67,3.0,5,3.83,E4,dbSUPER,gpt-4o,raw,1,0.31,
ontology_run2.ttl,/Users/franciscosaez/Documents/Claude/Projects/TFM/results/E4/dbSUPER/gpt-4o/ontology_run2.ttl,8065,1,,0,12,7,21,0,2.3333333333333335,2.3333333333333335,2,1.3333333333333333,0.6666666666666666,0.0,8,0.0,0.3333333333333333,0.5833333333333334,0.25,True,0,12,0.28,,5.0,3.5,2.67,3.5,5,3.93,E4,dbSUPER,gpt-4o,raw,2,0.29,
